Record#,Match#,Cup#,Race#,Date,Extra150cc,Cup,Track,Racer,Points,RaceWin,CupWin,CupPoints,MatchPoints,Range,MatchCupWins,MatchRaceWins,MatchWinType,ComputerWinFirst,MatchWin
77,3,10,39,8/30/13,150cc,2 Flower Cup,7 Choco Mountain,Mario,9,Win,Tie,30,114,110-119,2,8,Cup Win,NO,Win
78,3,10,39,8/30/13,150cc,2 Flower Cup,7 Choco Mountain,Peter,6,Lose,Tie,30,112,110-119,1,8,Cup Lose,NO,Lose
79,3,10,40,8/30/13,150cc,2 Flower Cup,8 Mario Raceway,Mario,9,Win,Tie,30,114,110-119,2,8,Cup Win,NO,Win
80,3,10,40,8/30/13,150cc,2 Flower Cup,8 Mario Raceway,Peter,6,Lose,Tie,30,112,110-119,1,8,Cup Lose,NO,Lose
81,3,11,41,8/30/13,150cc,3 Star Cup,9 Wario Stadium,Mario,9,Win,Win,30,114,110-119,2,8,Cup Win,NO,Win
82,3,11,41,8/30/13,150cc,3 Star Cup,9 Wario Stadium,Peter,6,Lose,Lose,19,112,110-119,1,8,Cup Lose,NO,Lose
83,3,11,42,8/30/13,150cc,3 Star Cup,10 Sherbert Land,Mario,6,Lose,Win,30,114,110-119,2,8,Cup Win,NO,Win
84,3,11,42,8/30/13,150cc,3 Star Cup,10 Sherbert Land,Peter,9,Win,Lose,19,112,110-119,1,8,Cup Lose,NO,Lose
85,3,11,43,8/30/13,150cc,3 Star Cup,11 Royal Raceway,Mario,9,Win,Win,30,114,110-119,2,8,Cup Win,NO,Win
86,3,11,43,8/30/13,150cc,3 Star Cup,11 Royal Raceway,Peter,3,Lose,Lose,19,112,110-119,1,8,Cup Lose,NO,Lose
87,3,11,44,8/30/13,150cc,3 Star Cup,12 Bowser's Castle,Mario,6,Win,Win,30,114,110-119,2,8,Cup Win,YES,Win
88,3,11,44,8/30/13,150cc,3 Star Cup,12 Bowser's Castle,Peter,1,Lose,Lose,19,112,110-119,1,8,Cup Lose,YES,Lose
89,3,12,45,8/30/13,150cc,4 Special Cup,13 DK's Jungle Parkway,Mario,6,Lose,Lose,21,114,110-119,2,8,Cup Win,NO,Win
90,3,12,45,8/30/13,150cc,4 Special Cup,13 DK's Jungle Parkway,Peter,9,Win,Win,36,112,110-119,1,8,Cup Lose,NO,Lose
