Record#,Match#,Cup#,Race#,Date,Extra150cc,Cup,Track,Racer,Points,RaceWin,CupWin,CupPoints,MatchPoints,Range,MatchCupWins,MatchRaceWins,MatchWinType,ComputerWinFirst,MatchWin
1642,52,206,821,2/4/13,Extra,2 Flower Cup,5 Toad's Turnpike,Peter,9,Win,Win,33,108,100-109,1,6,Cup Lose,NO,Lose
1643,52,206,822,2/4/13,Extra,2 Flower Cup,6 Frappe Snowland,Mario,3,Lose,Lose,21,117,110-119,2,10,Cup Win,NO,Win
1644,52,206,822,2/4/13,Extra,2 Flower Cup,6 Frappe Snowland,Peter,9,Win,Win,33,108,100-109,1,6,Cup Lose,NO,Lose
1645,52,206,823,2/4/13,Extra,2 Flower Cup,7 Choco Mountain,Mario,9,Win,Lose,21,117,110-119,2,10,Cup Win,NO,Win
1646,52,206,823,2/4/13,Extra,2 Flower Cup,7 Choco Mountain,Peter,6,Lose,Win,33,108,100-109,1,6,Cup Lose,NO,Lose
1647,52,206,824,2/4/13,Extra,2 Flower Cup,8 Mario Raceway,Mario,6,Lose,Lose,21,117,110-119,2,10,Cup Win,NO,Win
1648,52,206,824,2/4/13,Extra,2 Flower Cup,8 Mario Raceway,Peter,9,Win,Win,33,108,100-109,1,6,Cup Lose,NO,Lose
1649,52,207,825,2/4/13,Extra,3 Star Cup,9 Wario Stadium,Mario,9,Win,Win,36,117,110-119,2,10,Cup Win,NO,Win
1650,52,207,825,2/4/13,Extra,3 Star Cup,9 Wario Stadium,Peter,6,Lose,Lose,21,108,100-109,1,6,Cup Lose,NO,Lose
1651,52,207,826,2/4/13,Extra,3 Star Cup,10 Sherbert Land,Mario,9,Win,Win,36,117,110-119,2,10,Cup Win,NO,Win
1652,52,207,826,2/4/13,Extra,3 Star Cup,10 Sherbert Land,Peter,6,Lose,Lose,21,108,100-109,1,6,Cup Lose,NO,Lose
1653,52,207,827,2/4/13,Extra,3 Star Cup,11 Royal Raceway,Mario,9,Win,Win,36,117,110-119,2,10,Cup Win,NO,Win
1654,52,207,827,2/4/13,Extra,3 Star Cup,11 Royal Raceway,Peter,3,Lose,Lose,21,108,100-109,1,6,Cup Lose,NO,Lose
1655,52,207,828,2/4/13,Extra,3 Star Cup,12 Bowser's Castle,Mario,9,Win,Win,36,117,110-119,2,10,Cup Win,NO,Win
1656,52,207,828,2/4/13,Extra,3 Star Cup,12 Bowser's Castle,Peter,6,Lose,Lose,21,108,100-109,1,6,Cup Lose,NO,Lose
1657,52,208,829,2/4/13,Extra,4 Special Cup,13 DK's Jungle Parkway,Mario,9,Win,Tie,27,117,110-119,2,10,Cup Win,NO,Win
1658,52,208,829,2/4/13,Extra,4 Special Cup,13 DK's Jungle Parkway,Peter,6,Lose,Tie,27,108,100-109,1,6,Cup Lose,NO,Lose
1659,52,208,830,2/4/13,Extra,4 Special Cup,14 Yoshi Valley,Mario,6,Lose,Tie,27,117,110-119,2,10,Cup Win,NO,Win
1660,52,208,830,2/4/13,Extra,4 Special Cup,14 Yoshi Valley,Peter,9,Win,Tie,27,108,100-109,1,6,Cup Lose,NO,Lose
1661,52,208,831,2/4/13,Extra,4 Special Cup,15 Banshee Boardwalk,Mario,6,Win,Tie,27,117,110-119,2,10,Cup Win,YES,Win
1662,52,208,831,2/4/13,Extra,4 Special Cup,15 Banshee Boardwalk,Peter,3,Lose,Tie,27,108,100-109,1,6,Cup Lose,YES,Lose
1663,52,208,832,2/4/13,Extra,4 Special Cup,16 Rainbow Road,Mario,6,Lose,Tie,27,117,110-119,2,10,Cup Win,NO,Win
1664,52,208,832,2/4/13,Extra,4 Special Cup,16 Rainbow Road,Peter,9,Win,Tie,27,108,100-109,1,6,Cup Lose,NO,Lose
1665,53,209,833,2/4/13,150cc,1 Mushroom Cup,1 Luigi Raceway,Mario,9,Win,Lose,27,89,080-089,0,4,Cup Lose,NO,Lose
1666,53,209,833,2/4/13,150cc,1 Mushroom Cup,1 Luigi Raceway,Peter,3,Lose,Win,30,129,120-129,4,12,Cup Win,NO,Win
1667,53,209,834,2/4/13,150cc,1 Mushroom Cup,2 Moo Moo Farm,Mario,6,Lose,Lose,27,89,080-089,0,4,Cup Lose,NO,Lose
1668,53,209,834,2/4/13,150cc,1 Mushroom Cup,2 Moo Moo Farm,Peter,9,Win,Win,30,129,120-129,4,12,Cup Win,NO,Win
1669,53,209,835,2/4/13,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,6,Lose,Lose,27,89,080-089,0,4,Cup Lose,NO,Lose
1670,53,209,835,2/4/13,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,9,Win,Win,30,129,120-129,4,12,Cup Win,NO,Win
1671,53,209,836,2/4/13,150cc,1 Mushroom Cup,4 Kalimari Desert,Mario,6,Lose,Lose,27,89,080-089,0,4,Cup Lose,NO,Lose
1672,53,209,836,2/4/13,150cc,1 Mushroom Cup,4 Kalimari Desert,Peter,9,Win,Win,30,129,120-129,4,12,Cup Win,NO,Win
1673,53,210,837,2/4/13,150cc,2 Flower Cup,5 Toad's Turnpike,Mario,1,Lose,Lose,25,89,080-089,0,4,Cup Lose,NO,Lose
1674,53,210,837,2/4/13,150cc,2 Flower Cup,5 Toad's Turnpike,Peter,9,Win,Win,30,129,120-129,4,12,Cup Win,NO,Win
1675,53,210,838,2/4/13,150cc,2 Flower Cup,6 Frappe Snowland,Mario,9,Win,Lose,25,89,080-089,0,4,Cup Lose,NO,Lose
1676,53,210,838,2/4/13,150cc,2 Flower Cup,6 Frappe Snowland,Peter,6,Lose,Win,30,129,120-129,4,12,Cup Win,NO,Win
1677,53,210,839,2/4/13,150cc,2 Flower Cup,7 Choco Mountain,Mario,6,Lose,Lose,25,89,080-089,0,4,Cup Lose,NO,Lose
1678,53,210,839,2/4/13,150cc,2 Flower Cup,7 Choco Mountain,Peter,9,Win,Win,30,129,120-129,4,12,Cup Win,NO,Win
1679,53,210,840,2/4/13,150cc,2 Flower Cup,8 Mario Raceway,Mario,9,Win,Lose,25,89,080-089,0,4,Cup Lose,NO,Lose
1680,53,210,840,2/4/13,150cc,2 Flower Cup,8 Mario Raceway,Peter,6,Lose,Win,30,129,120-129,4,12,Cup Win,NO,Win
1681,53,211,841,2/4/13,150cc,3 Star Cup,9 Wario Stadium,Mario,3,Lose,Lose,15,89,080-089,0,4,Cup Lose,NO,Lose
1682,53,211,841,2/4/13,150cc,3 Star Cup,9 Wario Stadium,Peter,9,Win,Win,36,129,120-129,4,12,Cup Win,NO,Win
1683,53,211,842,2/4/13,150cc,3 Star Cup,10 Sherbert Land,Mario,6,Lose,Lose,15,89,080-089,0,4,Cup Lose,NO,Lose
1684,53,211,842,2/4/13,150cc,3 Star Cup,10 Sherbert Land,Peter,9,Win,Win,36,129,120-129,4,12,Cup Win,NO,Win
1685,53,211,843,2/4/13,150cc,3 Star Cup,11 Royal Raceway,Mario,6,Lose,Lose,15,89,080-089,0,4,Cup Lose,NO,Lose
1686,53,211,843,2/4/13,150cc,3 Star Cup,11 Royal Raceway,Peter,9,Win,Win,36,129,120-129,4,12,Cup Win,NO,Win
1687,53,211,844,2/4/13,150cc,3 Star Cup,12 Bowser's Castle,Mario,0,Lose,Lose,15,89,080-089,0,4,Cup Lose,NO,Lose
1688,53,211,844,2/4/13,150cc,3 Star Cup,12 Bowser's Castle,Peter,9,Win,Win,36,129,120-129,4,12,Cup Win,NO,Win
1689,53,212,845,2/4/13,150cc,4 Special Cup,13 DK's Jungle Parkway,Mario,1,Lose,Lose,22,89,080-089,0,4,Cup Lose,NO,Lose
1690,53,212,845,2/4/13,150cc,4 Special Cup,13 DK's Jungle Parkway,Peter,9,Win,Win,33,129,120-129,4,12,Cup Win,NO,Win
1691,53,212,846,2/4/13,150cc,4 Special Cup,14 Yoshi Valley,Mario,9,Win,Lose,22,89,080-089,0,4,Cup Lose,NO,Lose
1692,53,212,846,2/4/13,150cc,4 Special Cup,14 Yoshi Valley,Peter,6,Lose,Win,33,129,120-129,4,12,Cup Win,NO,Win
1693,53,212,847,2/4/13,150cc,4 Special Cup,15 Banshee Boardwalk,Mario,6,Lose,Lose,22,89,080-089,0,4,Cup Lose,NO,Lose
1694,53,212,847,2/4/13,150cc,4 Special Cup,15 Banshee Boardwalk,Peter,9,Win,Win,33,129,120-129,4,12,Cup Win,NO,Win
1695,53,212,848,2/4/13,150cc,4 Special Cup,16 Rainbow Road,Mario,6,Lose,Lose,22,89,080-089,0,4,Cup Lose,NO,Lose
1696,53,212,848,2/4/13,150cc,4 Special Cup,16 Rainbow Road,Peter,9,Win,Win,33,129,120-129,4,12,Cup Win,NO,Win
1697,54,213,849,2/4/13,Extra,1 Mushroom Cup,1 Luigi Raceway,Mario,9,Win,Win,33,93,090-099,1,6,Cup Lose,NO,Lose
1698,54,213,849,2/4/13,Extra,1 Mushroom Cup,1 Luigi Raceway,Peter,6,Lose,Lose,27,123,120-129,3,10,Cup Win,NO,Win
1699,54,213,850,2/4/13,Extra,1 Mushroom Cup,2 Moo Moo Farm,Mario,6,Lose,Win,33,93,090-099,1,6,Cup Lose,NO,Lose
1700,54,213,850,2/4/13,Extra,1 Mushroom Cup,2 Moo Moo Farm,Peter,9,Win,Lose,27,123,120-129,3,10,Cup Win,NO,Win
1701,54,213,851,2/4/13,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,9,Win,Win,33,93,090-099,1,6,Cup Lose,NO,Lose
1702,54,213,851,2/4/13,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,6,Lose,Lose,27,123,120-129,3,10,Cup Win,NO,Win
1703,54,213,852,2/4/13,Extra,1 Mushroom Cup,4 Kalimari Desert,Mario,9,Win,Win,33,93,090-099,1,6,Cup Lose,NO,Lose
1704,54,213,852,2/4/13,Extra,1 Mushroom Cup,4 Kalimari Desert,Peter,6,Lose,Lose,27,123,120-129,3,10,Cup Win,NO,Win
1705,54,214,853,2/4/13,Extra,2 Flower Cup,5 Toad's Turnpike,Mario,1,Lose,Lose,14,93,090-099,1,6,Cup Lose,NO,Lose
1706,54,214,853,2/4/13,Extra,2 Flower Cup,5 Toad's Turnpike,Peter,9,Win,Win,36,123,120-129,3,10,Cup Win,NO,Win
1707,54,214,854,2/4/13,Extra,2 Flower Cup,6 Frappe Snowland,Mario,6,Lose,Lose,14,93,090-099,1,6,Cup Lose,NO,Lose
1708,54,214,854,2/4/13,Extra,2 Flower Cup,6 Frappe Snowland,Peter,9,Win,Win,36,123,120-129,3,10,Cup Win,NO,Win
1709,54,214,855,2/4/13,Extra,2 Flower Cup,7 Choco Mountain,Mario,1,Lose,Lose,14,93,090-099,1,6,Cup Lose,NO,Lose
1710,54,214,855,2/4/13,Extra,2 Flower Cup,7 Choco Mountain,Peter,9,Win,Win,36,123,120-129,3,10,Cup Win,NO,Win
1711,54,214,856,2/4/13,Extra,2 Flower Cup,8 Mario Raceway,Mario,6,Lose,Lose,14,93,090-099,1,6,Cup Lose,NO,Lose
1712,54,214,856,2/4/13,Extra,2 Flower Cup,8 Mario Raceway,Peter,9,Win,Win,36,123,120-129,3,10,Cup Win,NO,Win
1713,54,215,857,2/4/13,Extra,3 Star Cup,9 Wario Stadium,Mario,6,Lose,Lose,22,93,090-099,1,6,Cup Lose,NO,Lose
1714,54,215,857,2/4/13,Extra,3 Star Cup,9 Wario Stadium,Peter,9,Win,Win,33,123,120-129,3,10,Cup Win,NO,Win
1715,54,215,858,2/4/13,Extra,3 Star Cup,10 Sherbert Land,Mario,9,Win,Lose,22,93,090-099,1,6,Cup Lose,NO,Lose
1716,54,215,858,2/4/13,Extra,3 Star Cup,10 Sherbert Land,Peter,6,Lose,Win,33,123,120-129,3,10,Cup Win,NO,Win
1717,54,215,859,2/4/13,Extra,3 Star Cup,11 Royal Raceway,Mario,1,Lose,Lose,22,93,090-099,1,6,Cup Lose,NO,Lose
1718,54,215,859,2/4/13,Extra,3 Star Cup,11 Royal Raceway,Peter,9,Win,Win,33,123,120-129,3,10,Cup Win,NO,Win
1719,54,215,860,2/4/13,Extra,3 Star Cup,12 Bowser's Castle,Mario,6,Lose,Lose,22,93,090-099,1,6,Cup Lose,NO,Lose
1720,54,215,860,2/4/13,Extra,3 Star Cup,12 Bowser's Castle,Peter,9,Win,Win,33,123,120-129,3,10,Cup Win,NO,Win
1721,54,216,861,2/4/13,Extra,4 Special Cup,13 DK's Jungle Parkway,Mario,0,Lose,Lose,24,93,090-099,1,6,Cup Lose,NO,Lose
1722,54,216,861,2/4/13,Extra,4 Special Cup,13 DK's Jungle Parkway,Peter,9,Win,Win,27,123,120-129,3,10,Cup Win,NO,Win
1723,54,216,862,2/4/13,Extra,4 Special Cup,14 Yoshi Valley,Mario,6,Lose,Lose,24,93,090-099,1,6,Cup Lose,NO,Lose
1724,54,216,862,2/4/13,Extra,4 Special Cup,14 Yoshi Valley,Peter,9,Win,Win,27,123,120-129,3,10,Cup Win,NO,Win
1725,54,216,863,2/4/13,Extra,4 Special Cup,15 Banshee Boardwalk,Mario,9,Win,Lose,24,93,090-099,1,6,Cup Lose,NO,Lose
1726,54,216,863,2/4/13,Extra,4 Special Cup,15 Banshee Boardwalk,Peter,6,Lose,Win,27,123,120-129,3,10,Cup Win,NO,Win
1727,54,216,864,2/4/13,Extra,4 Special Cup,16 Rainbow Road,Mario,9,Win,Lose,24,93,090-099,1,6,Cup Lose,NO,Lose
1728,54,216,864,2/4/13,Extra,4 Special Cup,16 Rainbow Road,Peter,3,Lose,Win,27,123,120-129,3,10,Cup Win,NO,Win
1729,55,217,865,2/4/13,150cc,1 Mushroom Cup,1 Luigi Raceway,Mario,6,Lose,Win,30,123,120-129,3,10,Cup Win,NO,Win
1730,55,217,865,2/4/13,150cc,1 Mushroom Cup,1 Luigi Raceway,Peter,9,Win,Lose,27,111,110-119,0,6,Cup Lose,NO,Lose
1731,55,217,866,2/4/13,150cc,1 Mushroom Cup,2 Moo Moo Farm,Mario,9,Win,Win,30,123,120-129,3,10,Cup Win,NO,Win
1732,55,217,866,2/4/13,150cc,1 Mushroom Cup,2 Moo Moo Farm,Peter,3,Lose,Lose,27,111,110-119,0,6,Cup Lose,NO,Lose
1733,55,217,867,2/4/13,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,6,Lose,Win,30,123,120-129,3,10,Cup Win,NO,Win
1734,55,217,867,2/4/13,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,9,Win,Lose,27,111,110-119,0,6,Cup Lose,NO,Lose
1735,55,217,868,2/4/13,150cc,1 Mushroom Cup,4 Kalimari Desert,Mario,9,Win,Win,30,123,120-129,3,10,Cup Win,NO,Win
1736,55,217,868,2/4/13,150cc,1 Mushroom Cup,4 Kalimari Desert,Peter,6,Lose,Lose,27,111,110-119,0,6,Cup Lose,NO,Lose
1737,55,218,869,2/4/13,150cc,2 Flower Cup,5 Toad's Turnpike,Mario,9,Win,Win,30,123,120-129,3,10,Cup Win,NO,Win
1738,55,218,869,2/4/13,150cc,2 Flower Cup,5 Toad's Turnpike,Peter,6,Lose,Lose,27,111,110-119,0,6,Cup Lose,NO,Lose
1739,55,218,870,2/4/13,150cc,2 Flower Cup,6 Frappe Snowland,Mario,9,Win,Win,30,123,120-129,3,10,Cup Win,NO,Win
1740,55,218,870,2/4/13,150cc,2 Flower Cup,6 Frappe Snowland,Peter,6,Lose,Lose,27,111,110-119,0,6,Cup Lose,NO,Lose
1741,55,218,871,2/4/13,150cc,2 Flower Cup,7 Choco Mountain,Mario,3,Lose,Win,30,123,120-129,3,10,Cup Win,NO,Win
1742,55,218,871,2/4/13,150cc,2 Flower Cup,7 Choco Mountain,Peter,9,Win,Lose,27,111,110-119,0,6,Cup Lose,NO,Lose
1743,55,218,872,2/4/13,150cc,2 Flower Cup,8 Mario Raceway,Mario,9,Win,Win,30,123,120-129,3,10,Cup Win,NO,Win
1744,55,218,872,2/4/13,150cc,2 Flower Cup,8 Mario Raceway,Peter,6,Lose,Lose,27,111,110-119,0,6,Cup Lose,NO,Lose
1745,55,219,873,2/4/13,150cc,3 Star Cup,9 Wario Stadium,Mario,6,Lose,Tie,30,123,120-129,3,10,Cup Win,NO,Win
1746,55,219,873,2/4/13,150cc,3 Star Cup,9 Wario Stadium,Peter,9,Win,Tie,30,111,110-119,0,6,Cup Lose,NO,Lose
1747,55,219,874,2/4/13,150cc,3 Star Cup,10 Sherbert Land,Mario,9,Win,Tie,30,123,120-129,3,10,Cup Win,NO,Win
1748,55,219,874,2/4/13,150cc,3 Star Cup,10 Sherbert Land,Peter,6,Lose,Tie,30,111,110-119,0,6,Cup Lose,NO,Lose
1749,55,219,875,2/4/13,150cc,3 Star Cup,11 Royal Raceway,Mario,6,Lose,Tie,30,123,120-129,3,10,Cup Win,NO,Win
1750,55,219,875,2/4/13,150cc,3 Star Cup,11 Royal Raceway,Peter,9,Win,Tie,30,111,110-119,0,6,Cup Lose,NO,Lose
1751,55,219,876,2/4/13,150cc,3 Star Cup,12 Bowser's Castle,Mario,9,Win,Tie,30,123,120-129,3,10,Cup Win,NO,Win
1752,55,219,876,2/4/13,150cc,3 Star Cup,12 Bowser's Castle,Peter,6,Lose,Tie,30,111,110-119,0,6,Cup Lose,NO,Lose
1753,55,220,877,2/4/13,150cc,4 Special Cup,13 DK's Jungle Parkway,Mario,9,Win,Win,33,123,120-129,3,10,Cup Win,NO,Win
1754,55,220,877,2/4/13,150cc,4 Special Cup,13 DK's Jungle Parkway,Peter,6,Lose,Lose,27,111,110-119,0,6,Cup Lose,NO,Lose
1755,55,220,878,2/4/13,150cc,4 Special Cup,14 Yoshi Valley,Mario,9,Win,Win,33,123,120-129,3,10,Cup Win,NO,Win
1756,55,220,878,2/4/13,150cc,4 Special Cup,14 Yoshi Valley,Peter,6,Lose,Lose,27,111,110-119,0,6,Cup Lose,NO,Lose
1757,55,220,879,2/4/13,150cc,4 Special Cup,15 Banshee Boardwalk,Mario,6,Lose,Win,33,123,120-129,3,10,Cup Win,NO,Win
1758,55,220,879,2/4/13,150cc,4 Special Cup,15 Banshee Boardwalk,Peter,9,Win,Lose,27,111,110-119,0,6,Cup Lose,NO,Lose
1759,55,220,880,2/4/13,150cc,4 Special Cup,16 Rainbow Road,Mario,9,Win,Win,33,123,120-129,3,10,Cup Win,NO,Win
1760,55,220,880,2/4/13,150cc,4 Special Cup,16 Rainbow Road,Peter,6,Lose,Lose,27,111,110-119,0,6,Cup Lose,NO,Lose
1761,56,221,881,2/4/13,Extra,1 Mushroom Cup,1 Luigi Raceway,Mario,6,Lose,Lose,24,102,100-109,1,6,Cup Lose,NO,Lose
1762,56,221,881,2/4/13,Extra,1 Mushroom Cup,1 Luigi Raceway,Peter,9,Win,Win,36,113,110-119,3,10,Cup Win,NO,Win
1763,56,221,882,2/4/13,Extra,1 Mushroom Cup,2 Moo Moo Farm,Mario,6,Lose,Lose,24,102,100-109,1,6,Cup Lose,NO,Lose
1764,56,221,882,2/4/13,Extra,1 Mushroom Cup,2 Moo Moo Farm,Peter,9,Win,Win,36,113,110-119,3,10,Cup Win,NO,Win
1765,56,221,883,2/4/13,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,6,Lose,Lose,24,102,100-109,1,6,Cup Lose,NO,Lose
1766,56,221,883,2/4/13,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,9,Win,Win,36,113,110-119,3,10,Cup Win,NO,Win
1767,56,221,884,2/4/13,Extra,1 Mushroom Cup,4 Kalimari Desert,Mario,6,Lose,Lose,24,102,100-109,1,6,Cup Lose,NO,Lose
1768,56,221,884,2/4/13,Extra,1 Mushroom Cup,4 Kalimari Desert,Peter,9,Win,Win,36,113,110-119,3,10,Cup Win,NO,Win
1769,56,222,885,2/4/13,Extra,2 Flower Cup,5 Toad's Turnpike,Mario,6,Win,Lose,21,102,100-109,1,6,Cup Lose,YES,Lose
1770,56,222,885,2/4/13,Extra,2 Flower Cup,5 Toad's Turnpike,Peter,1,Lose,Win,25,113,110-119,3,10,Cup Win,YES,Win
1771,56,222,886,2/4/13,Extra,2 Flower Cup,6 Frappe Snowland,Mario,3,Lose,Lose,21,102,100-109,1,6,Cup Lose,NO,Lose
1772,56,222,886,2/4/13,Extra,2 Flower Cup,6 Frappe Snowland,Peter,9,Win,Win,25,113,110-119,3,10,Cup Win,NO,Win
1773,56,222,887,2/4/13,Extra,2 Flower Cup,7 Choco Mountain,Mario,3,Lose,Lose,21,102,100-109,1,6,Cup Lose,NO,Lose
1774,56,222,887,2/4/13,Extra,2 Flower Cup,7 Choco Mountain,Peter,9,Win,Win,25,113,110-119,3,10,Cup Win,NO,Win
1775,56,222,888,2/4/13,Extra,2 Flower Cup,8 Mario Raceway,Mario,9,Win,Lose,21,102,100-109,1,6,Cup Lose,NO,Lose
1776,56,222,888,2/4/13,Extra,2 Flower Cup,8 Mario Raceway,Peter,6,Lose,Win,25,113,110-119,3,10,Cup Win,NO,Win
1777,56,223,889,2/4/13,Extra,3 Star Cup,9 Wario Stadium,Mario,9,Win,Win,33,102,100-109,1,6,Cup Lose,NO,Lose
1778,56,223,889,2/4/13,Extra,3 Star Cup,9 Wario Stadium,Peter,6,Lose,Lose,19,113,110-119,3,10,Cup Win,NO,Win
1779,56,223,890,2/4/13,Extra,3 Star Cup,10 Sherbert Land,Mario,6,Lose,Win,33,102,100-109,1,6,Cup Lose,NO,Lose
1780,56,223,890,2/4/13,Extra,3 Star Cup,10 Sherbert Land,Peter,9,Win,Lose,19,113,110-119,3,10,Cup Win,NO,Win
1781,56,223,891,2/4/13,Extra,3 Star Cup,11 Royal Raceway,Mario,9,Win,Win,33,102,100-109,1,6,Cup Lose,NO,Lose
1782,56,223,891,2/4/13,Extra,3 Star Cup,11 Royal Raceway,Peter,3,Lose,Lose,19,113,110-119,3,10,Cup Win,NO,Win
1783,56,223,892,2/4/13,Extra,3 Star Cup,12 Bowser's Castle,Mario,9,Win,Win,33,102,100-109,1,6,Cup Lose,NO,Lose
1784,56,223,892,2/4/13,Extra,3 Star Cup,12 Bowser's Castle,Peter,1,Lose,Lose,19,113,110-119,3,10,Cup Win,NO,Win
1785,56,224,893,2/4/13,Extra,4 Special Cup,13 DK's Jungle Parkway,Mario,6,Lose,Lose,24,102,100-109,1,6,Cup Lose,NO,Lose
1786,56,224,893,2/4/13,Extra,4 Special Cup,13 DK's Jungle Parkway,Peter,9,Win,Win,33,113,110-119,3,10,Cup Win,NO,Win
1787,56,224,894,2/4/13,Extra,4 Special Cup,14 Yoshi Valley,Mario,9,Win,Lose,24,102,100-109,1,6,Cup Lose,NO,Lose
1788,56,224,894,2/4/13,Extra,4 Special Cup,14 Yoshi Valley,Peter,6,Lose,Win,33,113,110-119,3,10,Cup Win,NO,Win
1789,56,224,895,2/4/13,Extra,4 Special Cup,15 Banshee Boardwalk,Mario,3,Lose,Lose,24,102,100-109,1,6,Cup Lose,NO,Lose
1790,56,224,895,2/4/13,Extra,4 Special Cup,15 Banshee Boardwalk,Peter,9,Win,Win,33,113,110-119,3,10,Cup Win,NO,Win
1791,56,224,896,2/4/13,Extra,4 Special Cup,16 Rainbow Road,Mario,6,Lose,Lose,24,102,100-109,1,6,Cup Lose,NO,Lose
1792,56,224,896,2/4/13,Extra,4 Special Cup,16 Rainbow Road,Peter,9,Win,Win,33,113,110-119,3,10,Cup Win,NO,Win
1793,57,225,897,2/4/13,Extra,1 Mushroom Cup,1 Luigi Raceway,Mario,6,Lose,Lose,27,117,110-119,2,8,Cup Win,NO,Win
1794,57,225,897,2/4/13,Extra,1 Mushroom Cup,1 Luigi Raceway,Peter,9,Win,Win,33,106,100-109,1,8,Cup Lose,NO,Lose
1795,57,225,898,2/4/13,Extra,1 Mushroom Cup,2 Moo Moo Farm,Mario,6,Lose,Lose,27,117,110-119,2,8,Cup Win,NO,Win
1796,57,225,898,2/4/13,Extra,1 Mushroom Cup,2 Moo Moo Farm,Peter,9,Win,Win,33,106,100-109,1,8,Cup Lose,NO,Lose
1797,57,225,899,2/4/13,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,9,Win,Lose,27,117,110-119,2,8,Cup Win,NO,Win
1798,57,225,899,2/4/13,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,6,Lose,Win,33,106,100-109,1,8,Cup Lose,NO,Lose
1799,57,225,900,2/4/13,Extra,1 Mushroom Cup,4 Kalimari Desert,Mario,6,Lose,Lose,27,117,110-119,2,8,Cup Win,NO,Win
1800,57,225,900,2/4/13,Extra,1 Mushroom Cup,4 Kalimari Desert,Peter,9,Win,Win,33,106,100-109,1,8,Cup Lose,NO,Lose
1801,57,226,901,2/4/13,Extra,2 Flower Cup,5 Toad's Turnpike,Mario,6,Lose,Win,30,117,110-119,2,8,Cup Win,NO,Win
1802,57,226,901,2/4/13,Extra,2 Flower Cup,5 Toad's Turnpike,Peter,9,Win,Lose,24,106,100-109,1,8,Cup Lose,NO,Lose
1803,57,226,902,2/4/13,Extra,2 Flower Cup,6 Frappe Snowland,Mario,9,Win,Win,30,117,110-119,2,8,Cup Win,NO,Win
1804,57,226,902,2/4/13,Extra,2 Flower Cup,6 Frappe Snowland,Peter,6,Lose,Lose,24,106,100-109,1,8,Cup Lose,NO,Lose
1805,57,226,903,2/4/13,Extra,2 Flower Cup,7 Choco Mountain,Mario,9,Win,Win,30,117,110-119,2,8,Cup Win,NO,Win
1806,57,226,903,2/4/13,Extra,2 Flower Cup,7 Choco Mountain,Peter,0,Lose,Lose,24,106,100-109,1,8,Cup Lose,NO,Lose
1807,57,226,904,2/4/13,Extra,2 Flower Cup,8 Mario Raceway,Mario,6,Lose,Win,30,117,110-119,2,8,Cup Win,NO,Win
1808,57,226,904,2/4/13,Extra,2 Flower Cup,8 Mario Raceway,Peter,9,Win,Lose,24,106,100-109,1,8,Cup Lose,NO,Lose
1809,57,227,905,2/4/13,Extra,3 Star Cup,9 Wario Stadium,Mario,9,Win,Win,33,117,110-119,2,8,Cup Win,NO,Win
1810,57,227,905,2/4/13,Extra,3 Star Cup,9 Wario Stadium,Peter,1,Lose,Lose,22,106,100-109,1,8,Cup Lose,NO,Lose
1811,57,227,906,2/4/13,Extra,3 Star Cup,10 Sherbert Land,Mario,9,Win,Win,33,117,110-119,2,8,Cup Win,NO,Win
1812,57,227,906,2/4/13,Extra,3 Star Cup,10 Sherbert Land,Peter,6,Lose,Lose,22,106,100-109,1,8,Cup Lose,NO,Lose
1813,57,227,907,2/4/13,Extra,3 Star Cup,11 Royal Raceway,Mario,6,Lose,Win,33,117,110-119,2,8,Cup Win,NO,Win
1814,57,227,907,2/4/13,Extra,3 Star Cup,11 Royal Raceway,Peter,9,Win,Lose,22,106,100-109,1,8,Cup Lose,NO,Lose
1815,57,227,908,2/4/13,Extra,3 Star Cup,12 Bowser's Castle,Mario,9,Win,Win,33,117,110-119,2,8,Cup Win,NO,Win
1816,57,227,908,2/4/13,Extra,3 Star Cup,12 Bowser's Castle,Peter,6,Lose,Lose,22,106,100-109,1,8,Cup Lose,NO,Lose
1817,57,228,909,2/4/13,Extra,4 Special Cup,13 DK's Jungle Parkway,Mario,3,Lose,Tie,27,117,110-119,2,8,Cup Win,NO,Win
1818,57,228,909,2/4/13,Extra,4 Special Cup,13 DK's Jungle Parkway,Peter,9,Win,Tie,27,106,100-109,1,8,Cup Lose,NO,Lose
1819,57,228,910,2/4/13,Extra,4 Special Cup,14 Yoshi Valley,Mario,6,Lose,Tie,27,117,110-119,2,8,Cup Win,NO,Win
1820,57,228,910,2/4/13,Extra,4 Special Cup,14 Yoshi Valley,Peter,9,Win,Tie,27,106,100-109,1,8,Cup Lose,NO,Lose
